seq_id	class	organism	mtrA_score	mtoA_score	desc
TPE57692.1	Shewanella_DmsE	Shewanella sp. LC2	705.2	284.2	TPE57692.1 DmsE family decaheme c-type cytochrome [Shewanella sp. LC2]
QQK60605.1	Shewanella_DmsE	Shewanella sp. LC6	705.2	284.2	QQK60605.1 DmsE family decaheme c-type cytochrome [Shewanella sp. LC6]
QYJ70054.1	Shewanella_DmsE	Shewanella sp. FJAT-51649	704.7	282.2	QYJ70054.1 DmsE family decaheme c-type cytochrome [Shewanella sp. FJAT-51649]
WP_220053401.1	Shewanella_DmsE	Shewanella sp. FJAT-51649	704.7	282.2	WP_220053401.1 DmsE family decaheme c-type cytochrome [Shewanella sp. FJAT-51649]
PZP34831.1	Shewanella_DmsE	Shewanella oneidensis	704.7	284.1	PZP34831.1 MAG: DmsE family decaheme c-type cytochrome [Shewanella oneidensis]
PWH02810.1	Shewanella_DmsE	Shewanella xiamenensis	704.7	284.1	PWH02810.1 DmsE family decaheme c-type cytochrome [Shewanella xiamenensis]
QRK78175.1	Shewanella_DmsE	Shewanella sp. LZH-2	704.7	284.1	QRK78175.1 DmsE family decaheme c-type cytochrome [Shewanella sp. LZH-2]
WP_416921377.1	Shewanella_DmsE	Shewanella sp.	704.4	285.3	WP_416921377.1 DmsE family decaheme c-type cytochrome [Shewanella sp.]
RBP82876.1	Shewanella_DmsE	Shewanella putrefaciens	703.7	289.2	RBP82876.1 DmsE family decaheme c-type cytochrome [Shewanella putrefaciens]
UVW63471.1	Shewanella_DmsE	Shewanella baltica	703.2	289.7	UVW63471.1 DmsE family decaheme c-type cytochrome [Shewanella baltica]
AEG11995.1	Shewanella_DmsE	Shewanella baltica BA175	703.2	289.7	AEG11995.1 decaheme c-type cytochrome, DmsE family [Shewanella baltica BA175]
EHQ14469.1	Shewanella_DmsE	Shewanella baltica OS183	703.2	289.7	EHQ14469.1 decaheme c-type cytochrome, DmsE family [Shewanella baltica OS183]
ADT93822.1	Shewanella_DmsE	Shewanella baltica OS678	703.2	289.7	ADT93822.1 decaheme c-type cytochrome, DmsE family [Shewanella baltica OS678]
EHC07048.1	Shewanella_DmsE	Shewanella baltica OS625	703.2	289.7	EHC07048.1 decaheme c-type cytochrome, DmsE family [Shewanella baltica OS625]
WP_249555802.1	Shewanella_DmsE	Shewanella	702.9	281.2	WP_249555802.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_374896346.1	Shewanella_DmsE	Shewanella mangrovisoli	702.9	279.9	WP_374896346.1 DmsE family decaheme c-type cytochrome [Shewanella mangrovisoli]
QKG96445.1	Shewanella_DmsE	Shewanella oneidensis MR-1	702.8	284.7	QKG96445.1 DmsE family decaheme c-type cytochrome [Shewanella oneidensis MR-1]
WP_208659294.1	Shewanella_DmsE	Shewanella decolorationis	702.6	281.4	WP_208659294.1 DmsE family decaheme c-type cytochrome [Shewanella decolorationis]
QDZ91537.1	Shewanella_DmsE	Shewanella decolorationis	702.6	281.4	QDZ91537.1 DmsE family decaheme c-type cytochrome [Shewanella decolorationis]
WP_133180526.1	Shewanella_DmsE	Shewanella decolorationis	702.5	281.2	WP_133180526.1 DmsE family decaheme c-type cytochrome [Shewanella decolorationis]
AEH13453.1	Shewanella_DmsE	Shewanella baltica OS117	701.2	290.3	AEH13453.1 decaheme c-type cytochrome, DmsE family [Shewanella baltica OS117]
SIQ86977.1	Shewanella_DmsE	Shewanella morhuae	696.8	279.8	SIQ86977.1 decaheme c-type cytochrome, DmsE family [Shewanella morhuae]
QSE50740.1	Shewanella_DmsE	Shewanella putrefaciens	695.2	286.7	QSE50740.1 DmsE family decaheme c-type cytochrome [Shewanella putrefaciens]
WP_011789903.1	Shewanella_DmsE	Shewanella	695.2	286.7	WP_011789903.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
QYX74150.1	Shewanella_DmsE	Shewanella putrefaciens	695.2	286.7	QYX74150.1 DmsE family decaheme c-type cytochrome [Shewanella putrefaciens]
WP_310186591.1	Shewanella_DmsE	Shewanella putrefaciens	695.1	286.4	WP_310186591.1 DmsE family decaheme c-type cytochrome [Shewanella putrefaciens]
UXK07304.1	Shewanella_DmsE	Shewanella putrefaciens	695.0	286.9	UXK07304.1 DmsE family decaheme c-type cytochrome [Shewanella putrefaciens]
WP_261761759.1	Shewanella_DmsE	Shewanella putrefaciens	695.0	286.9	WP_261761759.1 DmsE family decaheme c-type cytochrome [Shewanella putrefaciens]
WP_115015390.1	Shewanella_DmsE	Shewanella putrefaciens	694.4	286.3	WP_115015390.1 DmsE family decaheme c-type cytochrome [Shewanella putrefaciens]
UPO36688.1	Shewanella_DmsE	Shewanella sp. JNE7	693.6	286.0	UPO36688.1 DmsE family decaheme c-type cytochrome [Shewanella sp. JNE7]
WP_248084997.1	Shewanella_DmsE	unclassified Shewanella	693.6	286.0	WP_248084997.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
UPO25703.1	Shewanella_DmsE	Shewanella sp. JNE10-2	693.6	286.0	UPO25703.1 DmsE family decaheme c-type cytochrome [Shewanella sp. JNE10-2]
QYJ77728.1	Shewanella_DmsE	Shewanella acanthi	692.1	288.9	QYJ77728.1 DmsE family decaheme c-type cytochrome [Shewanella acanthi]
WP_220049357.1	Shewanella_DmsE	Shewanella acanthi	692.1	288.9	WP_220049357.1 DmsE family decaheme c-type cytochrome [Shewanella acanthi]
WP_039033873.1	Shewanella_DmsE	Shewanella	691.6	290.2	WP_039033873.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_404829466.1	Shewanella_DmsE	Shewanella chilikensis	691.6	289.8	WP_404829466.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
QWL04675.1	Shewanella_DmsE	Shewanella indica	691.6	289.9	QWL04675.1 DmsE family decaheme c-type cytochrome [Shewanella indica]
WP_464790215.1	Shewanella_DmsE	Shewanella algae	691.4	292.0	WP_464790215.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_096141310.1	Shewanella_DmsE	Shewanella algae	691.3	294.0	WP_096141310.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_371872910.1	Shewanella_DmsE	Shewanella algae	691.2	292.9	WP_371872910.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_412496848.1	Shewanella_DmsE	Shewanella algae	691.2	290.4	WP_412496848.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
AYV13349.1	Shewanella_DmsE	Shewanella algae	690.9	293.3	AYV13349.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_123116108.1	Shewanella_DmsE	Shewanella algae	690.9	293.3	WP_123116108.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QXP31687.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QXP31687.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QXP35052.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QXP35052.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
XAG87318.1	other	bacterium 19CA01SA08	690.8	292.6	XAG87318.1 DmsE family decaheme c-type cytochrome [bacterium 19CA01SA08]
QTE80754.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QTE80754.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QTE79597.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QTE79597.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QTE85102.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QTE85102.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QXP37135.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QXP37135.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
UYA15372.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	UYA15372.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QNV05100.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QNV05100.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
XAG44072.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	XAG44072.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QNH98614.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QNH98614.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_093983290.1	Shewanella_DmsE	Shewanella	690.8	292.6	WP_093983290.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WKC43408.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	WKC43408.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
XAG79646.1	other	bacterium 19NY03SH02	690.8	292.6	XAG79646.1 DmsE family decaheme c-type cytochrome [bacterium 19NY03SH02]
QWL08469.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QWL08469.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
XQK10966.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	XQK10966.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QHD55504.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QHD55504.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QXP18390.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QXP18390.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QTE92282.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QTE92282.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QGS60463.1	Shewanella_DmsE	Shewanella algae	690.8	292.6	QGS60463.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_145838822.1	Shewanella_DmsE	Shewanella algae	690.4	293.2	WP_145838822.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_208140179.1	Shewanella_DmsE	Shewanella algae	690.1	293.7	WP_208140179.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
