iron_acquisition-heme_oxygenase__HemO_Heme_oxygenase_Neisseria_Meningitidis_PDB_1p3t	iron_acquisition-heme_oxygenase__HemO_Heme_oxygenase_Neisseria_Meningitidis_PDB_1p3t
iron_acquisition-heme_oxygenase__HmoB_Heme_oxygenase_Bacillus_subtilis_subsp_spizizenii_str_W23_pdb_4fvc	iron_acquisition-heme_oxygenase__HmoB_Heme_oxygenase_Bacillus_subtilis_subsp_spizizenii_str_W23_pdb_4fvc
iron_acquisition-heme_oxygenase__HugZ-ChuZ-heme_oxygenase-rep	iron_acquisition-heme_oxygenase__HugZ-ChuZ-heme_oxygenase-rep
iron_acquisition-heme_oxygenase__HupZ_Heme_binding_Group_A_Streptococcus_pdb_5esc	iron_acquisition-heme_oxygenase__HupZ_Heme_binding_Group_A_Streptococcus_pdb_5esc
iron_acquisition-heme_oxygenase__Isd-LmHde_Heme_oxygenase_Listeria_monocytogenes_pdb_4kia	iron_acquisition-heme_oxygenase__Isd-LmHde_Heme_oxygenase_Listeria_monocytogenes_pdb_4kia
iron_acquisition-heme_oxygenase__IsdG-heme-oxygenase_fam1-rep	iron_acquisition-heme_oxygenase__IsdG-heme-oxygenase_fam1-rep
iron_acquisition-heme_oxygenase__IsdG-heme-oxygenase_fam1-rep	iron_acquisition-heme_oxygenase__IsdG-heme-oxygenase_fam2-rep
iron_acquisition-heme_oxygenase__MhuD_Heme_oxygenase_Mycobacterium_tuberculosis_pdb_4nl5	iron_acquisition-heme_oxygenase__MhuD_Heme_oxygenase_Mycobacterium_tuberculosis_pdb_4nl5
iron_acquisition-heme_oxygenase__PF01126-HmuO_Heme_oxygenase	iron_acquisition-heme_oxygenase__PF01126-HmuO_Heme_oxygenase
iron_acquisition-heme_oxygenase__PF05171-HemS-PhuS-ChuS	iron_acquisition-heme_oxygenase__PF05171-HemS-PhuS-ChuS
iron_acquisition-heme_oxygenase__PF06228_ChuX_HutX	iron_acquisition-heme_oxygenase__PF06228_ChuX_HutX
iron_acquisition-heme_oxygenase__PigA_Heme_oxygenase_Pseudomonas_aeruginosa_PDB_1sk7	iron_acquisition-heme_oxygenase__PigA_Heme_oxygenase_Pseudomonas_aeruginosa_PDB_1sk7
iron_acquisition-heme_transport__Heme_HasD_ABC_protein_Pseudomonas_fluorescens_BAA88492.1	iron_acquisition-heme_transport__Heme_HasD_ABC_protein_Pseudomonas_fluorescens_BAA88492.1
iron_acquisition-heme_transport__Heme_HasE_membrane_fusion_protein_Pseudomonas_fluorescens_BAA88493.1	iron_acquisition-heme_transport__Heme_HasE_membrane_fusion_protein_Pseudomonas_fluorescens_BAA88493.1
iron_acquisition-heme_transport__Heme_HasF_outer_membrane_protein_Pseudomonas_fluorescens_BAA88494.1	iron_acquisition-heme_transport__Heme_HasF_outer_membrane_protein_Pseudomonas_fluorescens_BAA88494.1
iron_acquisition-heme_transport__HmuV-HatC-ViuC-Hemin_ABC_transporter_ATPase-rep	iron_acquisition-heme_transport__HmuV-HatC-ViuC-Hemin_ABC_transporter_ATPase-rep
iron_acquisition-heme_transport__HutZ-heme_storage-rep	iron_acquisition-heme_transport__HutZ-heme_storage-rep
iron_acquisition-heme_transport__HxuA	iron_acquisition-heme_transport__HxuA
iron_acquisition-heme_transport__HxuB	iron_acquisition-heme_transport__HxuB
iron_acquisition-heme_transport__PF04187-Haem_binding_uptake-Tiki_superfamily-ChaN	iron_acquisition-heme_transport__PF04187-Haem_binding_uptake-Tiki_superfamily-ChaN
iron_acquisition-heme_transport__PF05031-NEAT	iron_acquisition-heme_transport__PF05031-NEAT
iron_acquisition-heme_transport__PF06438-Heme_binding_protein_A-HasA_HmuR	iron_acquisition-heme_transport__PF06438-Heme_binding_protein_A-HasA_HmuR
iron_acquisition-heme_transport__PF14064-HmuY_heme_binding	iron_acquisition-heme_transport__PF14064-HmuY_heme_binding
iron_acquisition-iron_transport__EfeB	iron_acquisition-iron_transport__EfeB
iron_acquisition-iron_transport__EfeO-Iron_uptake	iron_acquisition-iron_transport__EfeO-Iron_uptake
iron_acquisition-iron_transport__FbpA-iron_binding_and_transport-rep	iron_acquisition-iron_transport__FbpA-iron_binding_and_transport-rep
iron_acquisition-iron_transport__FbpB-FutB-iron_permease_fam1-rep	iron_acquisition-iron_transport__FbpB-FutB-iron_permease_fam1-rep
iron_acquisition-iron_transport__FbpC-iron_uptake_ATPase-rep	iron_acquisition-iron_transport__FbpC-iron_uptake_ATPase-rep
iron_acquisition-iron_transport__FeoE	iron_acquisition-iron_transport__FeoE
